kapt_code,kapt_name,addr_legal,addr_road,approval_date,approval_date_raw,household_count,bldg_count,pilot_guess,signal_name,signal_addr,signal_period,signal_score,human_match_status,human_reviewer,human_reviewed_at,reject_reason
A10027291,동탄2 LH26단지(65BL)아파트,경기도 화성동탄구 송동 692 동탄2 LH26단지(65BL)아파트,경기도 화성시 동탄대로9길 20,2016-11-03,20161103,917,15,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027281,동탄2신도시 하우스디 더 레이크,경기도 화성동탄구 송동 693 동탄2신도시 하우스디 더 레이크,경기도 화성시 동탄대로9길 19,2016-11-03,20161103,1552,14,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027196,병점역양우내안애아파트,경기도 화성병점구 병점동 872 병점역양우내안애아파트,경기도 화성시 병점중앙로21번길 32,2016-11-30,20161130,268,4,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""병점동""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027257,동탄역에일린의 뜰,경기도 화성동탄구 여울동 998 동탄역에일린의 뜰,경기도 화성시 동탄기흥로353번길 77,2016-12-09,20161209,489,9,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027095,센트럴힐즈 동탄아파트,경기도 화성동탄구 여울동 40 센트럴힐즈 동탄아파트,경기도 화성시 동탄대로12길 71,2017-01-20,20170120,652,8,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027133,동탄2 LH C26단지 행복주택,경기도 화성동탄구 여울동 1017 동탄2 LH C26단지 행복주택,경기도 화성시 동탄기흥로 11,2017-02-13,20170213,608,6,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027161,봉담센트럴푸르지오,경기도 화성효행구 봉담읍 와우리 597 봉담센트럴푸르지오,경기도 화성시 와우로34번길 12,2017-02-15,20170215,1265,12,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""봉담읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027114,이편한세상 반월나노시티역,경기도 화성병점구 반월동 960 이편한세상 반월나노시티역,경기도 화성시 효행로 1337-23,2017-02-23,20170223,1387,12,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""반월동""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10027117,동탄역더힐아파트,경기도 화성동탄구 청계동 556 동탄역더힐아파트,경기도 화성시 동탄순환대로22길 46,2017-02-28,20170228,718,13,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10027122,동탄역 포레너스 입주자대표회의,경기도 화성동탄구 영천동 720 동탄역 포레너스 입주자대표회의,경기도 화성시 동탄대로24길 199,2017-03-06,20170306,1316,18,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10026952,봉담우방아이유쉘2차아파트,경기도 화성효행구 봉담읍 수영리 679 봉담우방아이유쉘2차아파트,경기도 화성시 수영로 61-7,2017-04-26,20170426,351,6,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""봉담읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10026985,동탄 호반써밋포레,경기도 화성동탄구 목동 494 동탄 호반써밋포레,경기도 화성시 동탄신리천로1길 74,2017-06-02,20170602,1695,22,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10026957,동탄역푸르지오,경기도 화성동탄구 영천동 321-1 동탄역푸르지오,경기도 화성시 동탄순환대로 881-10,2017-06-23,20170623,832,10,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10026909,동탄역시범 금강펜테리움 센트럴파크3,경기도 화성동탄구 청계동 514 동탄역시범 금강펜테리움 센트럴파크3,경기도 화성시 동탄대로시범길 235,2017-06-29,20170629,252,5,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10026888,동탄역센트럴상록아파트,경기도 화성동탄구 영천동 662 동탄역센트럴상록아파트,경기도 화성시 동탄대로22길 9,2017-06-30,20170630,1005,9,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10026793,화성향남2 언덕마을18단지,경기도 화성만세구 향남읍 상신리 1331 화성향남2 언덕마을18단지,경기도 화성시 상신하길로 35,2017-07-07,20170707,1742,10,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""향남읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10026788,동탄호수공원금강펜테리움센트럴파크2차,경기도 화성동탄구 산척동  동탄호수공원금강펜테리움센트럴파크2차,경기도 화성시 동탄산척로2길 56,2017-07-28,20170728,908,10,DEV-DONGTAN2,False,True,True,2,confirmed,parkd,2026-09-02,
A10026893,SK VIEW Park 2차 아파트,경기도 화성병점구 기산동 476 SK VIEW Park 2차 아파트,경기도 화성시 동탄지성로 256,2017-07-31,20170731,1196,14,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""기산동""은 화성 동탄2 지구 밖 (원도심/타지구)"
A10026807,양우내안애2차에듀타운아파트,경기도 화성만세구 남양읍 남양리 2300 양우내안애2차에듀타운아파트,경기도 화성시 시청로102번길 12,2017-08-21,20170821,460,9,DEV-DONGTAN2,False,False,True,1,rejected,parkd,2026-09-02,"법정동 ""남양읍""은 화성 동탄2 지구 밖 (원도심/타지구)"
